state	count	event type	study population	race	year
Alabama	9506	Mortality	4430141	All Races	1999
Alabama	19823	Incidence	4452173	All Races	2000
Alabama	9807	Mortality	4452173	All Races	2000
Alabama	21050	Incidence	4467634	All Races	2001
Alabama	9801	Mortality	4467634	All Races	2001
Alabama	21383	Incidence	4480089	All Races	2002
Alabama	9698	Mortality	4480089	All Races	2002
Alabama	20788	Incidence	4503491	All Races	2003
Alabama	9812	Mortality	4503491	All Races	2003
Alabama	22221	Incidence	4530729	All Races	2004
Alabama	9756	Mortality	4530729	All Races	2004
Alabama	22643	Incidence	4565917	All Races	2005
Alabama	9913	Mortality	4565917	All Races	2005
Alabama	23310	Incidence	4628981	All Races	2006
Alabama	9899	Mortality	4628981	All Races	2006
Alabama	24156	Incidence	4672840	All Races	2007
Alabama	10025	Mortality	4672840	All Races	2007
Alabama	124415	Incidence	23737435	All Races	2009
Alabama	50591	Mortality	23563366	All Races	2009
Alabama	25254	Incidence	4718206	All Races	2008
Alabama	10182	Mortality	4718206	All Races	2008
Alabama	25189	Incidence	4757938	All Races	2009
Alabama	10289	Mortality	4757938	All Races	2009
Alabama	25048	Incidence	4784762	All Races	2010
Alabama	10196	Mortality	4785401	All Races	2010
Alabama	24768	Incidence	4803689	All Races	2011
Alabama	10196	Mortality	4785401	All Races	2011
Alabama	2203	Mortality	1162673	Black	1999
Alabama	3910	Incidence	1170617	Black	2000
Alabama	2212	Mortality	1170617	Black	2000
Alabama	4205	Incidence	1177479	Black	2001
Alabama	2353	Mortality	1177479	Black	2001
Alabama	4289	Incidence	1182591	Black	2002
Alabama	2234	Mortality	1182591	Black	2002
Alabama	4258	Incidence	1190183	Black	2003
Alabama	2238	Mortality	1190183	Black	2003
Alabama	4648	Incidence	1199192	Black	2004
Alabama	2203	Mortality	1199192	Black	2004
Alabama	4839	Incidence	1210020	Black	2005
Alabama	2267	Mortality	1210020	Black	2005
Alabama	4770	Incidence	1230534	Black	2006
Alabama	2225	Mortality	1230534	Black	2006
Alabama	4985	Incidence	1243867	Black	2007
Alabama	2354	Mortality	1243867	Black	2007
Alabama	26155	Incidence	6349220	Black	2009
Alabama	11523	Mortality	6287968	Black	2009
Alabama	5301	Incidence	1259177	Black	2008
Alabama	2323	Mortality	1259177	Black	2008
Alabama	5340	Incidence	1271247	Black	2009
Alabama	2350	Mortality	1271247	Black	2009
Alabama	5274	Incidence	1282716	Black	2010
Alabama	2271	Mortality	1283143	Black	2010
Alabama	5255	Incidence	1292213	Black	2011
Alabama	2271	Mortality	1283143	Black	2011
Alabama	17	Mortality	65183	Hispanic	1999
Alabama	75	Incidence	77016	Hispanic	2000
Alabama	0	Mortality	77016	Hispanic	2000
Alabama	83	Incidence	85722	Hispanic	2001
Alabama	18	Mortality	85722	Hispanic	2001
Alabama	100	Incidence	94179	Hispanic	2002
Alabama	23	Mortality	94179	Hispanic	2002
Alabama	82	Incidence	103472	Hispanic	2003
Alabama	17	Mortality	103472	Hispanic	2003
Alabama	119	Incidence	113284	Hispanic	2004
Alabama	24	Mortality	113284	Hispanic	2004
Alabama	125	Incidence	124991	Hispanic	2005
Alabama	31	Mortality	124991	Hispanic	2005
Alabama	124	Incidence	137842	Hispanic	2006
Alabama	18	Mortality	137842	Hispanic	2006
Alabama	130	Incidence	150652	Hispanic	2007
Alabama	33	Mortality	150652	Hispanic	2007
Alabama	794	Incidence	869221	Hispanic	2009
Alabama	170	Mortality	815424	Hispanic	2009
Alabama	181	Incidence	163709	Hispanic	2008
Alabama	42	Mortality	163709	Hispanic	2008
Alabama	138	Incidence	176518	Hispanic	2009
Alabama	37	Mortality	176518	Hispanic	2009
Alabama	164	Incidence	186528	Hispanic	2010
Alabama	40	Mortality	186703	Hispanic	2010
Alabama	181	Incidence	191814	Hispanic	2011
Alabama	40	Mortality	186703	Hispanic	2011
Alabama	7285	Mortality	3211308	White	1999
Alabama	15538	Incidence	3219856	White	2000
Alabama	7575	Mortality	3219856	White	2000
Alabama	16669	Incidence	3225628	White	2001
Alabama	7421	Mortality	3225628	White	2001
Alabama	16931	Incidence	3229712	White	2002
Alabama	7435	Mortality	3229712	White	2002
Alabama	16293	Incidence	3241836	White	2003
Alabama	7537	Mortality	3241836	White	2003
Alabama	17398	Incidence	3255811	White	2004
Alabama	7521	Mortality	3255811	White	2004
Alabama	17535	Incidence	3276040	White	2005
Alabama	7611	Mortality	3276040	White	2005
Alabama	18289	Incidence	3314160	White	2006
Alabama	7630	Mortality	3314160	White	2006
Alabama	18832	Incidence	3340633	White	2007
Alabama	7645	Mortality	3340633	White	2007
Alabama	95941	Incidence	16905204	White	2009
Alabama	38856	Mortality	16811616	White	2009
Alabama	19486	Incidence	3366536	White	2008
Alabama	7810	Mortality	3366536	White	2008
Alabama	19383	Incidence	3389202	White	2009
Alabama	7899	Mortality	3389202	White	2009
Alabama	19312	Incidence	3400893	White	2010
Alabama	7872	Mortality	3401085	White	2010
Alabama	18928	Incidence	3407940	White	2011
Alabama	7872	Mortality	3401085	White	2011
Alaska	1967	Incidence	624779	All Races	1999
Alaska	633	Mortality	624779	All Races	1999
Alaska	2054	Incidence	627963	All Races	2000
Alaska	704	Mortality	627963	All Races	2000
Alaska	2188	Incidence	633714	All Races	2001
Alaska	689	Mortality	633714	All Races	2001
Alaska	2239	Incidence	642337	All Races	2002
Alaska	715	Mortality	642337	All Races	2002
