restaurant_name	boro	building	street	zipcode	cuisine	inspection_date	action	violation_code	violation_description	critical_flag	score	grade	grade_date	inspection_type
THE PALACE THEATER	MANHATTAN	1564	BROADWAY	10036	American	6/3/14	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	12	A	6/3/14	Cycle Inspection / Initial Inspection
CARIBBEAN VIBES JAMAICAN RESTAURANT AND BAKERY	BROOKLYN	1436	NOSTRAND AVENUE	11226	Caribbean	11/15/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	12	A	11/15/13	Cycle Inspection / Re-inspection
71 IRVING PLACE	MANHATTAN	71	IRVING PLACE	10003	American	9/21/15	Violations were cited in the following area(s).	08B	Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.	Not Critical	8	A	9/21/15	Cycle Inspection / Initial Inspection
BRASSIERIE 1605/BROADWAY 49 BAR & LOUNGE (MAIN KITCHEN)	MANHATTAN	1605	BROADWAY	10019	American	11/29/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	13	A	11/29/14	Cycle Inspection / Initial Inspection
MANNA HOUSE BAKERY	MANHATTAN	87	EAST BROADWAY	10002	Bakery	8/17/16	Violations were cited in the following area(s).	06A	Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.	Critical	12	A	8/17/16	Cycle Inspection / Re-inspection
PIA PIZZERIA	BROOKLYN	3682	NOSTRAND AVENUE	11229	Pizza/Italian	6/17/14	Violations were cited in the following area(s).	10D	Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.	Not Critical	8	A	6/17/14	Cycle Inspection / Re-inspection
HOTEL GIRAFFE	MANHATTAN	365	PARK AVENUE SOUTH	10016	American	7/31/14	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	11	A	7/31/14	Cycle Inspection / Re-inspection
PARK HYATT NEW YORK	MANHATTAN	153	W 57TH ST	10019	American	9/17/14	Violations were cited in the following area(s).	10J	'''Wash hands sign not posted at hand wash facility.	Not Critical	7	A	9/17/14	Pre-permit (Operational) / Re-inspection
VERRAZANO GRILL	STATEN ISLAND	628	MIDLAND AVENUE	10306	Eastern European	6/4/16	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	7	A	6/4/16	Cycle Inspection / Initial Inspection
HAMPTON INN - MANHATTAN TIMES SQUARE SOUTH	MANHATTAN	337	WEST   39 STREET	10018	American	9/10/13	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	12	A	9/10/13	Cycle Inspection / Initial Inspection
SUBWAY	QUEENS	25310	HILLSIDE AVENUE	11426	Sandwiches	11/27/15	Violations were cited in the following area(s).	10E	Accurate thermometer not provided in refrigerated or hot holding equipment.	Not Critical	2	A	11/27/15	Cycle Inspection / Initial Inspection
PONGSRI THAI RESTAURANT	MANHATTAN	244	WEST   48 STREET	10036	Thai	2/23/15	Violations were cited in the following area(s).	10I	Single service item reused, improperly stored, dispensed; not used when required.	Not Critical	13	A	2/23/15	Cycle Inspection / Initial Inspection
MONTY Q'S	BROOKLYN	158	MONTAGUE STREET	11201	Pizza/Italian	4/13/15	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	12	A	4/13/15	Cycle Inspection / Initial Inspection
RED SUN RESTAURANT	BROOKLYN	7108	20 AVENUE	11204	Chinese	10/19/13	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	11	A	10/19/13	Cycle Inspection / Initial Inspection
Z-ONE DINER & LOUNGE	STATEN ISLAND	1821	RICHMOND AVENUE	10314	American	6/7/16	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	39	C	6/7/16	Cycle Inspection / Re-inspection
ON TRACK BAR (O.T.B.)	BROOKLYN	141	BROADWAY	11211	American	10/4/13	Violations were cited in the following area(s).	04H	Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.	Critical	12	A	10/4/13	Pre-permit (Operational) / Re-inspection
EL ANZUELO FINO	QUEENS	8601	NORTHERN BOULEVARD	11372	Peruvian	11/21/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	19	B	11/21/13	Cycle Inspection / Re-inspection
GOLDEN KRUST CARIBBEAN BAKERY & GRILL	BROOKLYN	1655	PITKIN AVENUE	11212	Caribbean	12/12/14	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	9	A	12/12/14	Cycle Inspection / Re-inspection
DUNKIN' DONUTS	MANHATTAN	152	WEST   31 STREET	10001	Donuts	6/5/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	9	A	6/5/14	Cycle Inspection / Initial Inspection
PUEBLA  RESTAURANT	BROOKLYN	374	AVENUE P	11204	Mexican	9/24/14	Violations were cited in the following area(s).	02H	Food not cooled by an approved method whereby the internal product temperature is reduced from 140籾綣 F to 70籾綣 F or less within 2 hours, and from 70籾綣 F to 41 degrees F or less within 4 additional hours.	Critical	35	C	9/24/14	Cycle Inspection / Re-inspection
EL BUFFALITO  GRILL	BROOKLYN	6012	NEW UTRECHT AVE	11219	Mexican	8/4/15	Violations were cited in the following area(s).	06F	Wiping cloths soiled or not stored in sanitizing solution.	Critical	7	A	8/4/15	Cycle Inspection / Initial Inspection
JOE'S PIZZA	BROOKLYN	216	BEDFORD AVE	11249	Pizza	6/20/16	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140 degrees F.	Critical	11	A	6/20/16	Cycle Inspection / Re-inspection
POPEYES LOUISIANA KITCHEN	MANHATTAN	47	WEST   14 STREET	10011	Chicken	12/28/15	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	12	A	12/28/15	Cycle Inspection / Re-inspection
CHEZ LUCIENNE	MANHATTAN	308	LENOX AVENUE	10027	French	2/23/15	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	9	A	2/23/15	Cycle Inspection / Re-inspection
PAPPARDELLA	MANHATTAN	316	COLUMBUS AVENUE	10023	Italian	4/9/15	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	14	B	4/9/15	Cycle Inspection / Re-inspection
